age,workclass,education,education_num,marital-status,occupation,relationship,race,sex,hours-per-week,Income
52, Private, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male,40, <=50K.
42, Private, HS-grad,9, Never-married, Other-service, Unmarried, Black, Female,28, <=50K.
26, Private, Some-college,10, Never-married, Sales, Not-in-family, White, Female,40, <=50K.
31, Private, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,40, <=50K.
25, Local-gov, HS-grad,9, Never-married, Other-service, Own-child, White, Female,35, <=50K.
55, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,60, <=50K.
19, Private, Some-college,10, Never-married, Other-service, Own-child, White, Female,12, <=50K.
62, Self-emp-not-inc, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White, Male,32, <=50K.
22, Federal-gov, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,20, <=50K.
39, ?, HS-grad,9, Married-civ-spouse, ?, Wife, White, Female,50, <=50K.
35, Private, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,40, <=50K.
28, Private, HS-grad,9, Married-civ-spouse, Sales, Own-child, White, Female,40, <=50K.
47, Private, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,70, >50K.
44, State-gov, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, <=50K.
21, Private, Some-college,10, Never-married, Sales, Own-child, White, Male,15, <=50K.
35, Private, Assoc-voc,11, Never-married, Craft-repair, Not-in-family, White, Male,50, <=50K.
24, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, >50K.
42, Federal-gov, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male,40, <=50K.
28, Private, Bachelors,13, Never-married, Tech-support, Own-child, White, Male,50, <=50K.
21, Private, Some-college,10, Never-married, Machine-op-inspct, Other-relative, White, Male,35, <=50K.
62, Federal-gov, Some-college,10, Divorced, Tech-support, Not-in-family, Black, Male,40, <=50K.
39, Private, HS-grad,9, Never-married, Other-service, Not-in-family, Black, Female,40, <=50K.
30, State-gov, HS-grad,9, Never-married, Other-service, Not-in-family, White, Male,40, <=50K.
72, Self-emp-not-inc, Prof-school,15, Never-married, Prof-specialty, Not-in-family, White, Male,20, <=50K.
50, Private, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, White, Female,50, <=50K.
28, Local-gov, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Male,40, <=50K.
29, Private, Some-college,10, Never-married, Prof-specialty, Not-in-family, White, Female,40, <=50K.
26, Private, Bachelors,13, Never-married, Adm-clerical, Own-child, White, Female,40, <=50K.
27, Private, Masters,14, Never-married, Exec-managerial, Not-in-family, White, Female,40, <=50K.
29, Private, Some-college,10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,40, >50K.
61, ?, HS-grad,9, Married-civ-spouse, ?, Husband, White, Male,40, <=50K.
29, Private, 10th,6, Married-civ-spouse, Craft-repair, Husband, White, Male,25, <=50K.
21, ?, Some-college,10, Never-married, ?, Own-child, White, Female,30, <=50K.
31, Private, 11th,7, Married-civ-spouse, Sales, Wife, White, Female,20, <=50K.
25, Private, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,75, <=50K.
58, Private, 10th,6, Married-civ-spouse, Transport-moving, Husband, White, Male,40, >50K.
64, Private, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, White, Female,40, >50K.
46, State-gov, Masters,14, Never-married, Exec-managerial, Not-in-family, White, Male,38, <=50K.
53, ?, HS-grad,9, Married-civ-spouse, ?, Husband, White, Male,35, >50K.
19, Private, HS-grad,9, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,35, <=50K.
42, Private, HS-grad,9, Divorced, Other-service, Not-in-family, Black, Male,52, <=50K.
18, Private, 11th,7, Never-married, Handlers-cleaners, Own-child, White, Male,24, <=50K.
58, Self-emp-inc, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White, Male,50, >50K.
20, Private, Some-college,10, Never-married, Protective-serv, Not-in-family, Black, Male,60, <=50K.
35, Federal-gov, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,40, >50K.
32, Private, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,38, >50K.
23, Private, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White, Female,25, <=50K.
31, Private, Some-college,10, Divorced, Tech-support, Unmarried, White, Female,40, <=50K.
33, Private, Bachelors,13, Married-civ-spouse, Sales, Husband, Black, Male,55, <=50K.
41, Private, Some-college,10, Never-married, Machine-op-inspct, Not-in-family, White, Female,48, <=50K.
22, Private, HS-grad,9, Never-married, Machine-op-inspct, Own-child, Black, Male,40, <=50K.
46, Private, Some-college,10, Married-civ-spouse, Protective-serv, Husband, White, Male,40, >50K.
61, Federal-gov, Some-college,10, Married-civ-spouse, Transport-moving, Husband, Black, Male,40, <=50K.
30, Private, HS-grad,9, Never-married, Exec-managerial, Not-in-family, Black, Male,40, <=50K.
42, Private, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,55, >50K.
63, Private, 10th,6, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,40, <=50K.
26, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,40, <=50K.
42, Private, 10th,6, Divorced, Adm-clerical, Unmarried, White, Female,40, <=50K.
23, Private, Some-college,10, Married-civ-spouse, Other-service, Husband, White, Male,40, <=50K.
25, Private, HS-grad,9, Never-married, Machine-op-inspct, Unmarried, White, Male,40, <=50K.
30, Private, 9th,5, Married-civ-spouse, Other-service, Husband, White, Male,32, >50K.
23, Private, HS-grad,9, Never-married, Sales, Own-child, White, Male,40, <=50K.
34, Self-emp-not-inc, Assoc-voc,11, Never-married, Farming-fishing, Not-in-family, White, Male,60, >50K.
